Date 1,Time 1,RSSI,Badge,Date 2,Badge to Badge 1,6,7,8
2020-10-23,14:07:28:,181,26,2020-10-23,14:07:27,[9:216],,
2020-10-23,14:07:33:,189,09,2020-10-23,14:07:28,[26:218],,
2020-10-23,14:07:36:,182,26,2020-10-23,14:07:35,[9:216],,
2020-10-23,14:07:41:,189,09,2020-10-23,14:07:36,[26:218],,
2020-10-23,14:07:44:,182,26,2020-10-23,14:07:43,[9:216],,
2020-10-23,14:07:48:,189,09,2020-10-23,14:07:44,[26:218],,
2020-10-23,14:07:50:,182,26,2020-10-23,14:07:51,[9:216],,
2020-10-23,14:07:56:,189,09,2020-10-23,14:07:52,[26:218],[26:218],
2020-10-23,14:07:58:,182,26,2020-10-23,14:07:59,[9:216],,
2020-10-23,14:08:05:,189,09,2020-10-23,14:08:00,[26:218],,
2020-10-23,14:08:06:,181,26,2020-10-23,14:08:07,[9:216],,
2020-10-23,14:08:11:,189,09,2020-10-23,14:08:08,[26:218],,
2020-10-23,14:08:16:,182,26,2020-10-23,14:08:15,[9:216],,
2020-10-23,14:08:22:,181,26,2020-10-23,14:08:23,,,
2020-10-23,14:08:22:,189,09,2020-10-23,14:08:16,,,
2020-10-23,14:08:31:,189,09,2020-10-23,14:08:24,[26:218],[26:218],
2020-10-23,14:08:32:,182,26,2020-10-23,14:08:31,[9:216],,
2020-10-23,14:08:34:,189,09,2020-10-23,14:08:32,,,
2020-10-23,14:08:41:,189,09,2020-10-23,14:08:40,[26:218],,
2020-10-23,14:08:45:,181,26,2020-10-23,14:08:39,[9:216],[9:215],
2020-10-23,14:08:48:,189,09,2020-10-23,14:08:48,[26:218],,
2020-10-23,14:08:50:,181,26,2020-10-23,14:08:47,[9:216],,
2020-10-23,14:08:57:,189,09,2020-10-23,14:08:56,[26:218],,
2020-10-23,14:08:59:,182,26,2020-10-23,14:08:55,[9:216],,
2020-10-23,14:09:02:,181,26,2020-10-23,14:09:03,[9:216],,
2020-10-23,14:09:09:,188,09,2020-10-23,14:09:04,[26:218],[26:218],
2020-10-23,14:09:13:,188,09,2020-10-23,14:09:12,,,
2020-10-23,14:09:16:,181,26,2020-10-23,14:09:11,[9:216],,
2020-10-23,14:09:23:,189,09,2020-10-23,14:09:20,[26:218],,
2020-10-23,14:09:24:,181,26,2020-10-23,14:09:19,[9:215],,
2020-10-23,14:09:28:,181,26,2020-10-23,14:09:27,[9:216],,
2020-10-23,14:09:29:,189,09,2020-10-23,14:09:28,[26:218],,
2020-10-23,14:09:37:,189,09,2020-10-23,14:09:36,[26:218],,
2020-10-23,14:09:37:,181,26,2020-10-23,14:09:35,[9:215],,
2020-10-23,14:09:47:,182,26,2020-10-23,14:09:43,[9:216],,
2020-10-23,14:09:48:,189,09,2020-10-23,14:09:44,[26:218],,
2020-10-23,14:09:53:,182,26,2020-10-23,14:09:51,[9:216],,
2020-10-23,14:09:59:,189,09,2020-10-23,14:09:52,[26:218],,
2020-10-23,14:09:59:,181,26,2020-10-23,14:09:59,,,
2020-10-23,14:10:00:,189,09,2020-10-23,14:10:00,[26:218],[26:218],
2020-10-23,14:10:08:,181,26,2020-10-23,14:10:07,[9:216],[9:216],
2020-10-23,14:10:13:,189,09,2020-10-23,14:10:08,,,
2020-10-23,14:10:17:,182,26,2020-10-23,14:10:15,[9:215],,
2020-10-23,14:10:20:,189,09,2020-10-23,14:10:16,[26:218],,
2020-10-23,14:10:24:,182,26,2020-10-23,14:10:23,[9:216],,
2020-10-23,14:10:30:,189,09,2020-10-23,14:10:24,[26:218],,
2020-10-23,14:10:32:,189,09,2020-10-23,14:10:32,[26:218],,
2020-10-23,14:10:34:,182,26,2020-10-23,14:10:31,,,
2020-10-23,14:10:42:,188,09,2020-10-23,14:10:40,[26:218],,
2020-10-23,14:10:43:,182,26,2020-10-23,14:10:39,[9:216],[9:216],
2020-10-23,14:10:47:,181,26,2020-10-23,14:10:47,[9:216],,
2020-10-23,14:10:48:,189,09,2020-10-23,14:10:48,[26:218],,
2020-10-23,14:10:58:,182,26,2020-10-23,14:10:55,[9:216],,
2020-10-23,14:11:02:,189,09,2020-10-23,14:10:56,[26:218],,
2020-10-23,14:11:03:,182,26,2020-10-23,14:11:03,,,
2020-10-23,14:11:10:,189,09,2020-10-23,14:11:04,[26:218],[26:218],
2020-10-23,14:11:14:,181,26,2020-10-23,14:11:11,[9:216],[9:215],
2020-10-23,14:11:17:,189,09,2020-10-23,14:11:12,,,
2020-10-23,14:11:24:,189,09,2020-10-23,14:11:20,[26:218],,
2020-10-23,14:11:25:,182,26,2020-10-23,14:11:19,[9:216],,
2020-10-23,14:11:28:,181,26,2020-10-23,14:11:27,[9:216],,
2020-10-23,14:11:33:,189,09,2020-10-23,14:11:28,[26:218],,
2020-10-23,14:11:34:,182,26,2020-10-23,14:11:35,[9:216],,
2020-10-23,14:11:42:,189,09,2020-10-23,14:11:36,[26:218],[26:218],
2020-10-23,14:11:46:,182,26,2020-10-23,14:11:43,,,
2020-10-23,14:11:49:,189,09,2020-10-23,14:11:44,,,
2020-10-23,14:11:54:,188,09,2020-10-23,14:11:52,[26:218],,
2020-10-23,14:11:57:,182,26,2020-10-23,14:11:51,[9:216],[9:216],
2020-10-23,14:12:00:,182,26,2020-10-23,14:11:59,[9:216],,
2020-10-23,14:12:01:,188,09,2020-10-23,14:12:00,[26:218],,
2020-10-23,14:12:08:,181,26,2020-10-23,14:12:07,[9:215],,
2020-10-23,14:12:12:,189,09,2020-10-23,14:12:08,[26:218],,
2020-10-23,14:12:18:,189,09,2020-10-23,14:12:16,[26:218],,
2020-10-23,14:12:21:,181,26,2020-10-23,14:12:15,[9:215],,
2020-10-23,14:12:24:,182,26,2020-10-23,14:12:23,[9:216],,
2020-10-23,14:12:24:,189,09,2020-10-23,14:12:24,[26:218],,
2020-10-23,14:12:32:,182,26,2020-10-23,14:12:31,[9:216],,
2020-10-23,14:12:33:,188,09,2020-10-23,14:12:32,[26:218],,
2020-10-23,14:12:38:,181,26,2020-10-23,14:12:39,[9:216],,
2020-10-23,14:12:44:,189,09,2020-10-23,14:12:40,[26:218],[26:218],
2020-10-23,14:12:47:,181,26,2020-10-23,14:12:47,[9:216],,
2020-10-23,14:12:48:,189,09,2020-10-23,14:12:48,[26:218],,
2020-10-23,14:12:57:,182,26,2020-10-23,14:12:55,[9:215],,
2020-10-23,14:12:59:,189,09,2020-10-23,14:12:56,,,
2020-10-23,14:13:04:,181,26,2020-10-23,14:13:03,[9:216],,
2020-10-23,14:13:05:,189,09,2020-10-23,14:13:04,[26:218],,
2020-10-23,14:13:13:,182,26,2020-10-23,14:13:11,[9:216],,
2020-10-23,14:13:17:,189,09,2020-10-23,14:13:12,[26:218],,
2020-10-23,14:13:23:,188,09,2020-10-23,14:13:20,[26:218],,
2020-10-23,14:13:24:,181,26,2020-10-23,14:13:19,[9:215],,
2020-10-23,14:13:28:,182,26,2020-10-23,14:13:27,[9:216],,
2020-10-23,14:13:33:,189,09,2020-10-23,14:13:28,[26:218],,
2020-10-23,14:13:35:,189,09,2020-10-23,14:13:36,[26:218],,
2020-10-23,14:13:36:,181,26,2020-10-23,14:13:35,[9:216],,
2020-10-23,14:13:44:,182,26,2020-10-23,14:13:43,[9:216],,
2020-10-23,14:13:45:,189,09,2020-10-23,14:13:44,[26:218],,
2020-10-23,14:13:53:,188,09,2020-10-23,14:13:52,[26:218],,
2020-10-23,14:13:53:,182,26,2020-10-23,14:13:51,[9:216],,
2020-10-23,14:13:59:,182,26,2020-10-23,14:13:59,[9:216],,
2020-10-23,14:14:03:,189,09,2020-10-23,14:14:00,[26:218],[26:218],
2020-10-23,14:14:09:,189,09,2020-10-23,14:14:08,,,
2020-10-23,14:14:12:,182,26,2020-10-23,14:14:07,[9:215],,
2020-10-23,14:14:17:,181,26,2020-10-23,14:14:15,[9:216],,
2020-10-23,14:14:21:,189,09,2020-10-23,14:14:16,[26:218],,
2020-10-23,14:14:23:,182,26,2020-10-23,14:14:23,[9:215],,
2020-10-23,14:14:30:,189,09,2020-10-23,14:14:24,[26:218],[26:218],
2020-10-23,14:14:33:,188,09,2020-10-23,14:14:32,,,
2020-10-23,14:14:33:,181,26,2020-10-23,14:14:31,[9:215],,
2020-10-23,14:14:40:,189,09,2020-10-23,14:14:40,[26:218],,
2020-10-23,14:14:43:,182,26,2020-10-23,14:14:39,[9:216],,
2020-10-23,14:14:47:,182,26,2020-10-23,14:14:47,[9:216],,
2020-10-23,14:14:49:,188,09,2020-10-23,14:14:48,[26:218],,
2020-10-23,14:14:56:,189,09,2020-10-23,14:14:56,[26:218],,
2020-10-23,14:14:58:,182,26,2020-10-23,14:14:55,[9:216],,
2020-10-23,14:15:03:,189,09,2020-10-23,14:15:04,[26:218],,
2020-10-23,14:15:05:,181,26,2020-10-23,14:15:03,[9:216],,
2020-10-23,14:15:11:,181,26,2020-10-23,14:15:11,[9:216],,
2020-10-23,14:15:12:,189,09,2020-10-23,14:15:12,[26:218],,
2020-10-23,14:15:19:,189,09,2020-10-23,14:15:20,[26:218],,
2020-10-23,14:15:22:,182,26,2020-10-23,14:15:19,[9:216],,
2020-10-23,14:15:28:,189,09,2020-10-23,14:15:28,[26:217],,
2020-10-23,14:15:33:,182,26,2020-10-23,14:15:27,[9:216],,
2020-10-23,14:15:40:,182,26,2020-10-23,14:15:35,[9:216],,
2020-10-23,14:15:42:,188,09,2020-10-23,14:15:36,[26:218],,
2020-10-23,14:15:43:,181,26,2020-10-23,14:15:43,,,
2020-10-23,14:15:43:,189,09,2020-10-23,14:15:44,[26:218],[26:218],
2020-10-23,14:15:53:,188,09,2020-10-23,14:15:52,,,
2020-10-23,14:15:53:,181,26,2020-10-23,14:15:51,[9:216],[9:216],
2020-10-23,14:16:01:,189,09,2020-10-23,14:16:00,[26:218],,
2020-10-23,14:16:01:,182,26,2020-10-23,14:15:59,[9:215],,
2020-10-23,14:16:07:,182,26,2020-10-23,14:16:07,[9:216],,
2020-10-23,14:16:12:,189,09,2020-10-23,14:16:08,[26:218],[26:218],
2020-10-23,14:16:15:,181,26,2020-10-23,14:16:15,[9:215],,
2020-10-23,14:16:20:,189,09,2020-10-23,14:16:16,[26:218],,
2020-10-23,14:16:22:,181,26,2020-10-23,14:16:23,[9:216],,
2020-10-23,14:16:29:,189,09,2020-10-23,14:16:24,[26:218],,
2020-10-23,14:16:34:,182,26,2020-10-23,14:16:31,[9:216],,
2020-10-23,14:16:37:,189,09,2020-10-23,14:16:32,,,
